Position,Track,Artists
1,Una Noche Sin Pensar,Sebastian Yatra
2,Tacones Rojos,Sebastian Yatra
3,Mi Pecadito,"Mike Bahía, Greeicy"
4,TV,Sebastian Yatra
5,La Vida,Mike Bahía
6,Amor,Cali Y El Dandee
7,Te Creí,"Greeicy, Cultura Profética"
8,Att: Amor,"Greeicy, Mike Bahía"
