Position,Track,Artists
1,Una Noche Sin Pensar,Sebastian Yatra
2,Tacones Rojos,Sebastian Yatra
3,KESI - Remix,"Camilo, Shawn Mendes"
4,Mi Pecadito,"Mike Bahía, Greeicy"
5,TV,Sebastian Yatra
6,La Vida,Mike Bahía
7,Obvio,Llane
8,Amor,Cali Y El Dandee
9,Te Creí,"Greeicy, Cultura Profética"
10,Att: Amor,"Greeicy, Mike Bahía"
11,El Amor Es Perfecto,Cabas
12,Sin Decir Adiós,"Pitizion, Nicole Favre"
